country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Congo Democratic Republic,CD,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/congo-democratic-republic,IRENA database,2417.15991210938,2432.15991210938,2432.15991210938,2437.15991210938,2437.15991210938,2437.15991210938,2437.15991210938,2437.15991210938,2436.15991210938,2436.15991210938,2446.15991210938,2456.18310546875,2443.2470703125,2445.54907226563,2446.4208984375,2447.51489257813,2463.27392578125,2478.12890625,2654.43090820313,2664.3310546875,2664.3310546875,2664.3310546875,3036.31201171875,,
Congo Republic,CG,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/congo-republic,AFREC Database,297.959991455078,338.720001220703,396.290008544922,342.0,397.670013427734,355.369995117188,372.279998779297,335.0,375.0,330.0,426.0,791.0,826.594970703125,971.0,952.0,925.0,959.0,1011.97564697266,1094.34802246094,1160.56872558594,1234.01989746094,892.4267578125,,,
Congo Republic,CG,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/congo-republic,AFREC Database,298.959991455078,339.720001220703,397.290008544922,396.0,460.670013427734,428.369995117188,448.279998779297,407.0,461.0,526.0,781.0,1293.0,1348.85498046875,1514.34118652344,1740.0,1730.51245117188,1753.0,1829.01623535156,2620.0849609375,2744.732421875,2888.36279296875,3266.1953125,,,
Congo Republic,CG,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/congo-republic,IRENA database,114.199996948242,114.199996948242,139.199996948242,139.199996948242,139.199996948242,139.199996948242,139.199996948242,196.699996948242,196.699996948242,196.699996948242,510.700012207031,510.700012207031,630.703002929688,630.715026855469,630.718017578125,630.719970703125,637.239990234375,652.817016601563,652.823974609375,652.822021484375,823.281982421875,823.325012207031,823.400024414063,,
Cote d'Ivoire,CI,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/cote-divoire,AFREC Database,1764.0,1800.0,1729.47399902344,1831.53796386719,1748.13403320313,1436.93518066406,1510.26745605469,1797.0,1898.0,2117.0,1602.0,1774.0,1788.59301757813,1606.0,1913.0,1352.0,1511.08996582031,1537.02661132813,2962.00244140625,3014.5048828125,3069.80981445313,3713.69897460938,,,
Cote d'Ivoire,CI,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/cote-divoire,AFREC Database,4807.0,4885.0,5307.47412109375,5092.5380859375,5510.13427734375,5679.93505859375,5656.267578125,5631.0,5800.0,5846.0,5943.0,6099.0,8868.25,8689.6572265625,8286.0,8711.0,10235.08984375,10679.2529296875,10059.0380859375,10474.1162109375,10919.0615234375,12402.8759765625,,,
Cote d'Ivoire,CI,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/cote-divoire,IRENA database,1229.14074707031,1229.14074707031,1229.14074707031,1229.14074707031,1229.14074707031,1229.14074707031,1229.14074707031,1229.14074707031,1229.14074707031,1229.14074707031,1418.14074707031,1418.14074707031,1455.14074707031,1555.14074707031,1670.14978027344,1814.4248046875,1929.5908203125,2205.14770507813,2206.23779296875,2238.3466796875,2240.54272460938,2281.88989257813,2464.13989257813,,
Djibouti,DJ,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/djibouti,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Djibouti,DJ,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/djibouti,AFREC Database,180.0,179.0,188.0,188.0,202.0,240.0,263.0,274.0,315.0,319.0,325.0,327.452789306641,347.509185791016,81.9918975830078,355.0,363.878448486328,373.230651855469,569.638000488281,30.1120014190674,30.9166450500488,31.7062911987305,32.4837532043457,,,
Djibouti,DJ,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/djibouti,IRENA database,85.0,100.0,110.0,112.0,118.0,118.0,118.0,118.0,130.0,130.0,130.0,130.0,130.300003051758,130.300003051758,130.300003051758,130.300003051758,130.361999511719,123.361999511719,123.361999511719,123.361999511719,123.361999511719,143.361999511719,143.361999511719,,
